PlayerValue,DealerValue,Result,InitialBalance,FinalBalance
17,5,t,4995,4995
18,8,w,4995,5045
20,10,l,5045,4995
20,5,w,4995,5045
24,9,l,5045,4995
18,10,l,4995,4945
20,3,l,4945,4895
17,10,l,4895,4845
19,10,l,4845,4795
21,8,w,4795,4845
21,6,w,4845,4895
12,5,l,4895,4845
16,4,l,4845,4795
19,7,w,4795,4845
15,5,w,4845,4895
19,10,t,4895,4895
18,11,w,4895,4945
18,8,w,4945,4995
22,9,l,4995,4945
16,2,w,4945,4995
18,9,l,4995,4945
20,10,l,4945,4895
21,10,w,4895,4945
16,2,w,4945,4995
23,7,l,4995,4945
25,11,l,4945,4895
21,4,w,4895,4945
19,7,w,4945,4995
14,6,w,4995,5045
22,7,l,5045,4995
16,6,w,4995,5045
12,5,w,5045,5095
17,2,l,5095,5045
21,11,w,5045,5095
20,10,t,5095,5095
20,10,w,5095,5145
18,10,l,5145,5095
21,10,w,5095,5145
13,4,l,5145,5095
24,10,l,5095,5045
20,10,w,5045,5095
16,6,w,5095,5145
13,3,l,5145,5095
26,10,l,5095,5045
20,10,l,5045,4995
25,10,l,4995,4945
17,4,l,4945,4895
18,4,w,4895,4945
15,6,w,4945,4995
20,2,t,4995,4995
14,5,w,4995,5045
14,4,l,5045,4995
20,4,w,4995,5045
19,9,w,5045,5095
14,4,l,5095,5045
20,10,t,5045,5045
18,10,l,5045,4995
22,3,l,4995,4945
19,5,w,4945,4995
19,10,l,4995,4945
14,5,l,4945,4895
23,10,l,4895,4845
13,5,w,4845,4895
17,5,w,4895,4945
15,3,l,4945,4895
12,6,l,4895,4845
19,11,l,4845,4795
26,10,l,4795,4745
20,5,w,4745,4795
26,10,l,4795,4745
18,3,w,4745,4795
18,9,l,4795,4745
18,2,w,4745,4795
22,10,l,4795,4745
24,10,l,4745,4695
20,9,w,4695,4745
17,10,l,4745,4695
20,5,t,4695,4695
17,11,l,4695,4645
18,10,w,4645,4695
20,10,w,4695,4745
21,10,w,4745,4795
17,9,l,4795,4745
22,10,l,4745,4695
18,10,l,4695,4645
17,10,l,4645,4595
14,6,l,4595,4545
14,4,l,4545,4495
20,11,t,4495,4495
19,10,l,4495,4445
19,10,l,4445,4395
20,10,w,4395,4445
15,6,w,4445,4495
20,7,w,4495,4545
21,10,w,4545,4595
18,10,w,4595,4645
23,10,l,4645,4595
13,5,l,4595,4545
17,2,l,4545,4495
22,9,l,4495,4445
18,10,w,4445,4495
20,10,l,4495,4445
14,5,l,4445,4395
19,11,l,4395,4345
19,10,w,4345,4395
20,7,w,4395,4445
13,4,l,4445,4395
18,10,w,4395,4445
25,10,l,4445,4395
22,11,l,4395,4345
13,6,w,4345,4395
18,2,t,4395,4395
19,10,w,4395,4445
20,10,w,4445,4495
20,10,w,4495,4545
22,7,l,4545,4495
19,4,w,4495,4545
14,2,w,4545,4595
20,10,w,4595,4645
17,3,w,4645,4695
18,9,t,4695,4695
14,2,w,4695,4745
24,9,l,4745,4695
17,3,w,4695,4745
15,3,l,4745,4695
23,10,l,4695,4645
17,8,l,4645,4595
17,7,l,4595,4545
20,10,t,4545,4545
21,8,w,4545,4595
15,6,l,4595,4545
20,10,t,4545,4545
14,4,w,4545,4595
16,2,w,4595,4645
22,11,l,4645,4595
17,10,l,4595,4545
18,10,l,4545,4495
20,10,t,4495,4495
25,9,l,4495,4445
24,11,l,4445,4395
25,7,l,4395,4345
18,6,l,4345,4295
19,10,w,4295,4345
14,2,w,4345,4395
21,2,w,4395,4445
17,4,l,4445,4395
17,11,l,4395,4345
13,2,w,4345,4395
13,6,l,4395,4345
26,8,l,4345,4295
18,10,l,4295,4245
21,8,w,4245,4295
21,10,w,4295,4345
13,6,w,4345,4395
21,11,w,4395,4445
19,10,w,4445,4495
15,5,l,4495,4445
18,9,l,4445,4395
21,11,w,4395,4445
16,5,w,4445,4495
17,8,l,4495,4445
16,2,w,4445,4495
12,6,l,4495,4445
20,5,w,4445,4495
19,6,l,4495,4445
17,3,w,4445,4495
19,10,w,4495,4545
20,8,w,4545,4595
15,4,w,4595,4645
18,10,w,4645,4695
23,8,l,4695,4645
20,7,w,4645,4695
19,10,t,4695,4695
17,10,w,4695,4745
19,9,w,4745,4795
19,10,l,4795,4745
18,10,l,4745,4695
21,10,w,4695,4745
23,10,l,4745,4695
20,11,w,4695,4745
20,8,w,4745,4795
24,10,l,4795,4745
18,3,w,4745,4795
25,10,l,4795,4745
23,10,l,4745,4695
16,2,w,4695,4745
21,7,w,4745,4795
24,7,l,4795,4745
17,9,l,4745,4695
17,10,l,4695,4645
22,3,l,4645,4595
22,7,l,4595,4545
19,10,l,4545,4495
20,2,t,4495,4495
15,2,l,4495,4445
14,5,l,4445,4395
24,10,l,4395,4345
13,5,l,4345,4295
21,9,w,4295,4345
13,3,w,4345,4395
13,4,l,4395,4345
18,10,l,4345,4295
15,3,l,4295,4245
16,4,l,4245,4195
23,7,l,4195,4145
26,11,l,4145,4095
22,10,l,4095,4045
22,10,l,4045,3995
18,9,t,3995,3995
26,10,l,3995,3945
13,2,w,3945,3995
17,3,w,3995,4045
13,4,l,4045,3995
20,10,w,3995,4045
17,9,t,4045,4045
23,10,l,4045,3995
15,3,w,3995,4045
14,4,w,4045,4095
21,11,w,4095,4145
17,2,l,4145,4095
25,8,l,4095,4045
20,10,t,4045,4045
21,11,w,4045,4095
13,3,l,4095,4045
22,3,l,4045,3995
25,8,l,3995,3945
20,9,t,3945,3945
16,2,l,3945,3895
24,7,l,3895,3845
17,10,l,3845,3795
16,5,l,3795,3745
18,9,t,3745,3745
20,8,w,3745,3795
21,10,w,3795,3845
17,10,l,3845,3795
23,10,l,3795,3745
13,2,l,3745,3695
20,10,l,3695,3645
17,9,w,3645,3695
14,5,w,3695,3745
15,2,l,3745,3695
19,10,l,3695,3645
24,10,l,3645,3595
21,10,w,3595,3645
19,5,w,3645,3695
14,5,w,3695,3745
21,2,w,3745,3795
18,7,w,3795,3845
14,3,l,3845,3795
17,10,l,3795,3745
24,10,l,3745,3695
16,6,l,3695,3645
21,9,w,3645,3695
20,8,w,3695,3745
17,7,l,3745,3695
20,10,l,3695,3645
23,10,l,3645,3595
16,4,l,3595,3545
20,5,w,3545,3595
24,10,l,3595,3545
21,9,w,3545,3595
14,6,w,3595,3645
17,11,l,3645,3595
21,5,w,3595,3645
18,3,t,3645,3645
18,7,w,3645,3695
26,11,l,3695,3645
22,11,l,3645,3595
19,10,l,3595,3545
23,10,l,3545,3495
12,6,l,3495,3445
13,2,w,3445,3495
12,6,w,3495,3545
21,10,w,3545,3595
19,7,w,3595,3645
20,6,w,3645,3695
21,11,w,3695,3745
19,6,w,3745,3795
15,3,l,3795,3745
23,9,l,3745,3695
18,10,w,3695,3745
16,3,w,3745,3795
13,3,l,3795,3745
26,7,l,3745,3695
22,10,l,3695,3645
15,3,w,3645,3695
15,3,l,3695,3645
15,4,w,3645,3695
19,6,w,3695,3745
17,10,l,3745,3695
19,10,w,3695,3745
17,10,l,3745,3695
19,11,l,3695,3645
18,10,l,3645,3595
14,2,l,3595,3545
17,8,l,3545,3495
22,10,l,3495,3445
18,10,w,3445,3495
20,10,w,3495,3545
21,10,w,3545,3595
15,3,l,3595,3545
18,3,w,3545,3595
13,2,l,3595,3545
17,8,l,3545,3495
17,8,l,3495,3445
23,10,l,3445,3395
18,6,l,3395,3345
18,8,w,3345,3395
19,10,w,3395,3445
20,9,w,3445,3495
13,4,l,3495,3445
14,5,l,3445,3395
20,10,t,3395,3395
20,11,w,3395,3445
17,3,t,3445,3445
16,6,w,3445,3495
18,10,w,3495,3545
18,10,l,3545,3495
20,11,w,3495,3545
24,9,l,3545,3495
18,10,t,3495,3495
20,4,l,3495,3445
19,6,l,3445,3395
18,9,l,3395,3345
16,2,w,3345,3395
19,10,w,3395,3445
20,7,t,3445,3445
18,11,l,3445,3395
17,8,l,3395,3345
22,9,l,3345,3295
26,10,l,3295,3245
16,5,l,3245,3195
22,11,l,3195,3145
22,10,l,3145,3095
19,5,w,3095,3145
21,10,w,3145,3195
23,10,l,3195,3145
16,5,l,3145,3095
20,3,w,3095,3145
20,3,w,3145,3195
13,5,w,3195,3245
25,11,l,3245,3195
20,8,w,3195,3245
17,7,l,3245,3195
17,8,l,3195,3145
22,10,l,3145,3095
24,10,l,3095,3045
21,6,w,3045,3095
20,7,w,3095,3145
21,10,w,3145,3195
26,10,l,3195,3145
23,8,l,3145,3095
19,8,w,3095,3145
20,4,w,3145,3195
18,10,l,3195,3145
17,3,w,3145,3195
16,2,l,3195,3145
12,5,w,3145,3195
18,8,l,3195,3145
19,9,w,3145,3195
20,10,w,3195,3245
20,10,w,3245,3295
15,5,l,3295,3245
23,7,l,3245,3195
15,5,l,3195,3145
14,4,l,3145,3095
13,5,w,3095,3145
20,5,w,3145,3195
14,5,w,3195,3245
14,6,w,3245,3295
26,10,l,3295,3245
12,4,w,3245,3295
19,4,l,3295,3245
19,4,w,3245,3295
18,8,w,3295,3345
20,2,w,3345,3395
14,4,l,3395,3345
19,4,w,3345,3395
21,5,w,3395,3445
23,10,l,3445,3395
23,9,l,3395,3345
18,10,l,3345,3295
17,2,w,3295,3345
19,7,w,3345,3395
20,7,w,3395,3445
18,10,l,3445,3395
20,10,l,3395,3345
15,3,l,3345,3295
23,10,l,3295,3245
24,10,l,3245,3195
18,10,l,3195,3145
16,2,l,3145,3095
24,10,l,3095,3045
22,10,l,3045,2995
22,7,l,2995,2945
20,10,w,2945,2995
13,3,l,2995,2945
21,11,w,2945,2995
12,4,l,2995,2945
18,10,l,2945,2895
18,11,l,2895,2845
17,10,l,2845,2795
17,7,l,2795,2745
19,11,t,2745,2745
20,10,t,2745,2745
20,10,w,2745,2795
13,4,l,2795,2745
16,6,l,2745,2695
17,7,l,2695,2645
17,7,w,2645,2695
26,8,l,2695,2645
21,10,w,2645,2695
23,10,l,2695,2645
16,6,w,2645,2695
14,4,w,2695,2745
18,5,t,2745,2745
20,11,w,2745,2795
13,2,w,2795,2845
20,8,w,2845,2895
20,9,w,2895,2945
21,6,w,2945,2995
18,3,w,2995,3045
22,9,l,3045,2995
23,10,l,2995,2945
14,2,l,2945,2895
25,10,l,2895,2845
20,6,l,2845,2795
13,4,l,2795,2745
20,3,l,2745,2695
19,2,w,2695,2745
26,7,l,2745,2695
20,9,l,2695,2645
18,3,w,2645,2695
16,6,l,2695,2645
17,3,w,2645,2695
24,8,l,2695,2645
21,10,t,2645,2645
20,7,w,2645,2695
22,9,l,2695,2645
19,9,t,2645,2645
20,10,w,2645,2695
19,8,w,2695,2745
17,8,w,2745,2795
13,3,w,2795,2845
16,2,w,2845,2895
20,10,t,2895,2895
16,4,w,2895,2945
16,3,l,2945,2895
25,8,l,2895,2845
19,11,l,2845,2795
19,10,l,2795,2745
17,7,l,2745,2695
21,10,w,2695,2745
20,7,t,2745,2745
19,7,t,2745,2745
17,10,w,2745,2795
19,11,w,2795,2845
13,6,l,2845,2795
17,11,l,2795,2745
20,10,w,2745,2795
15,5,l,2795,2745
19,9,l,2745,2695
18,10,l,2695,2645
19,3,w,2645,2695
12,4,l,2695,2645
19,10,w,2645,2695
21,3,w,2695,2745
22,10,l,2745,2695
13,6,w,2695,2745
14,6,l,2745,2695
18,11,w,2695,2745
17,10,l,2745,2695
20,2,w,2695,2745
23,8,l,2745,2695
15,6,l,2695,2645
20,6,w,2645,2695
17,10,l,2695,2645
15,4,l,2645,2595
17,5,w,2595,2645
21,8,w,2645,2695
17,4,t,2695,2695
21,8,w,2695,2745
17,4,w,2745,2795
13,5,l,2795,2745
18,10,w,2745,2795
19,8,w,2795,2845
15,6,l,2845,2795
20,10,t,2795,2795
13,3,l,2795,2745
20,8,w,2745,2795
18,10,l,2795,2745
20,4,w,2745,2795
20,6,w,2795,2845
26,10,l,2845,2795
20,3,w,2795,2845
18,10,l,2845,2795
19,10,t,2795,2795
19,10,w,2795,2845
16,5,w,2845,2895
19,11,w,2895,2945
20,8,w,2945,2995
16,3,l,2995,2945
13,4,w,2945,2995
21,6,w,2995,3045
22,9,l,3045,2995
18,7,w,2995,3045
17,8,l,3045,2995
13,5,w,2995,3045
18,10,l,3045,2995
23,10,l,2995,2945
24,7,l,2945,2895
14,4,l,2895,2845
25,11,l,2845,2795
18,3,w,2795,2845
13,3,l,2845,2795
19,8,w,2795,2845
15,2,l,2845,2795
19,10,l,2795,2745
18,4,w,2745,2795
23,8,l,2795,2745
23,10,l,2745,2695
17,10,w,2695,2745
26,11,l,2745,2695
17,8,w,2695,2745
20,7,l,2745,2695
22,9,l,2695,2645
13,4,l,2645,2595
17,5,l,2595,2545
19,3,w,2545,2595
26,8,l,2595,2545
17,10,l,2545,2495
17,10,l,2495,2445
17,10,l,2445,2395
14,5,l,2395,2345
17,10,l,2345,2295
17,10,l,2295,2245
19,2,w,2245,2295
19,5,w,2295,2345
17,10,w,2345,2395
21,10,w,2395,2445
23,11,l,2445,2395
20,10,w,2395,2445
21,11,w,2445,2495
16,6,w,2495,2545
20,10,t,2545,2545
20,10,w,2545,2595
20,7,w,2595,2645
17,7,t,2645,2645
17,3,w,2645,2695
19,11,l,2695,2645
15,5,w,2645,2695
18,9,t,2695,2695
19,2,l,2695,2645
18,7,w,2645,2695
13,2,l,2695,2645
20,10,w,2645,2695
24,11,l,2695,2645
25,10,l,2645,2595
17,7,t,2595,2595
18,7,l,2595,2545
16,5,w,2545,2595
17,7,t,2595,2595
20,9,w,2595,2645
17,2,l,2645,2595
21,7,w,2595,2645
13,3,l,2645,2595
20,7,w,2595,2645
22,8,l,2645,2595
22,10,l,2595,2545
18,10,l,2545,2495
17,9,l,2495,2445
21,8,w,2445,2495
16,5,w,2495,2545
17,10,l,2545,2495
15,2,l,2495,2445
17,11,t,2445,2445
17,4,w,2445,2495
17,4,w,2495,2545
17,4,w,2545,2595
20,2,w,2595,2645
18,9,w,2645,2695
22,10,l,2695,2645
21,9,w,2645,2695
20,5,t,2695,2695
17,10,l,2695,2645
19,10,l,2645,2595
17,10,l,2595,2545
20,10,t,2545,2545
21,9,w,2545,2595
26,8,l,2595,2545
20,10,t,2545,2545
25,7,l,2545,2495
20,10,w,2495,2545
19,7,l,2545,2495
26,11,l,2495,2445
13,4,l,2445,2395
22,10,l,2395,2345
17,6,l,2345,2295
13,2,l,2295,2245
19,10,t,2245,2245
15,4,w,2245,2295
19,10,l,2295,2245
20,11,l,2245,2195
26,9,l,2195,2145
16,2,w,2145,2195
23,7,l,2195,2145
18,6,l,2145,2095
26,10,l,2095,2045
12,6,w,2045,2095
20,6,w,2095,2145
21,8,w,2145,2195
15,5,w,2195,2245
18,5,l,2245,2195
13,2,l,2195,2145
21,10,w,2145,2195
25,9,l,2195,2145
17,2,w,2145,2195
17,7,t,2195,2195
18,7,w,2195,2245
25,11,l,2245,2195
20,9,w,2195,2245
16,5,l,2245,2195
14,5,l,2195,2145
17,10,w,2145,2195
21,8,w,2195,2245
12,5,l,2245,2195
23,10,l,2195,2145
12,6,w,2145,2195
15,6,l,2195,2145
20,11,l,2145,2095
21,9,w,2095,2145
23,10,l,2145,2095
12,6,w,2095,2145
17,11,l,2145,2095
17,3,w,2095,2145
26,8,l,2145,2095
18,6,l,2095,2045
16,3,l,2045,1995
14,5,l,1995,1945
20,8,w,1945,1995
15,5,w,1995,2045
21,9,w,2045,2095
21,6,w,2095,2145
21,7,w,2145,2195
21,7,w,2195,2245
13,3,l,2245,2195
18,10,l,2195,2145
20,2,w,2145,2195
17,8,l,2195,2145
19,2,w,2145,2195
25,7,l,2195,2145
19,8,w,2145,2195
20,4,w,2195,2245
20,9,w,2245,2295
20,10,w,2295,2345
21,8,w,2345,2395
18,3,w,2395,2445
17,11,l,2445,2395
21,7,w,2395,2445
20,9,w,2445,2495
19,10,w,2495,2545
22,11,l,2545,2495
20,5,w,2495,2545
18,2,w,2545,2595
13,4,w,2595,2645
21,2,w,2645,2695
21,8,w,2695,2745
19,9,w,2745,2795
13,6,w,2795,2845
23,10,l,2845,2795
17,4,l,2795,2745
19,7,w,2745,2795
18,8,l,2795,2745
13,5,l,2745,2695
13,6,l,2695,2645
16,4,l,2645,2595
20,6,t,2595,2595
17,2,l,2595,2545
18,11,l,2545,2495
17,10,w,2495,2545
20,8,w,2545,2595
26,7,l,2595,2545
13,4,l,2545,2495
23,8,l,2495,2445
18,3,w,2445,2495
22,7,l,2495,2445
18,10,l,2445,2395
17,8,l,2395,2345
23,8,l,2345,2295
20,10,l,2295,2245
23,10,l,2245,2195
23,10,l,2195,2145
20,9,l,2145,2095
17,7,l,2095,2045
22,8,l,2045,1995
15,4,l,1995,1945
12,5,l,1945,1895
15,3,w,1895,1945
21,2,w,1945,1995
15,2,l,1995,1945
20,9,w,1945,1995
20,9,w,1995,2045
26,10,l,2045,1995
19,10,w,1995,2045
20,10,w,2045,2095
19,10,l,2095,2045
20,3,w,2045,2095
19,11,w,2095,2145
21,8,w,2145,2195
17,6,t,2195,2195
17,10,l,2195,2145
14,6,l,2145,2095
18,10,t,2095,2095
20,2,l,2095,2045
20,8,w,2045,2095
20,8,w,2095,2145
19,2,w,2145,2195
17,8,l,2195,2145
21,3,w,2145,2195
25,10,l,2195,2145
16,6,l,2145,2095
18,10,l,2095,2045
16,4,l,2045,1995
20,10,t,1995,1995
22,9,l,1995,1945
12,6,l,1945,1895
18,3,w,1895,1945
19,10,w,1945,1995
15,4,l,1995,1945
18,10,l,1945,1895
22,8,l,1895,1845
20,2,w,1845,1895
19,6,w,1895,1945
20,9,w,1945,1995
21,10,w,1995,2045
17,10,t,2045,2045
16,4,l,2045,1995
18,2,w,1995,2045
14,6,l,2045,1995
22,10,l,1995,1945
21,11,t,1945,1945
17,5,w,1945,1995
18,8,l,1995,1945
23,10,l,1945,1895
20,5,w,1895,1945
20,10,w,1945,1995
19,9,w,1995,2045
24,8,l,2045,1995
17,10,l,1995,1945
19,2,t,1945,1945
14,6,l,1945,1895
19,7,w,1895,1945
20,10,t,1945,1945
21,10,t,1945,1945
21,8,w,1945,1995
20,7,w,1995,2045
24,10,l,2045,1995
20,10,t,1995,1995
21,10,t,1995,1995
12,5,l,1995,1945
23,10,l,1945,1895
26,10,l,1895,1845
19,6,w,1845,1895
21,11,t,1895,1895
22,10,l,1895,1845
19,4,l,1845,1795
20,10,w,1795,1845
23,10,l,1845,1795
14,5,w,1795,1845
21,10,w,1845,1895
19,3,w,1895,1945
19,10,l,1945,1895
14,2,l,1895,1845
13,6,l,1845,1795
21,11,w,1795,1845
24,10,l,1845,1795
21,10,w,1795,1845
19,4,w,1845,1895
20,8,w,1895,1945
21,6,w,1945,1995
21,4,w,1995,2045
20,11,l,2045,1995
16,3,l,1995,1945
14,2,l,1945,1895
18,6,l,1895,1845
20,6,l,1845,1795
21,2,w,1795,1845
16,5,l,1845,1795
20,3,w,1795,1845
19,10,l,1845,1795
18,6,w,1795,1845
18,2,t,1845,1845
18,6,w,1845,1895
24,10,l,1895,1845
14,2,l,1845,1795
24,10,l,1795,1745
22,10,l,1745,1695
17,8,t,1695,1695
17,5,l,1695,1645
20,3,w,1645,1695
18,4,w,1695,1745
24,9,l,1745,1695
25,9,l,1695,1645
20,10,w,1645,1695
23,11,l,1695,1645
21,10,w,1645,1695
20,10,w,1695,1745
12,5,l,1745,1695
16,2,l,1695,1645
19,10,l,1645,1595
17,3,l,1595,1545
13,5,l,1545,1495
13,5,w,1495,1545
20,2,w,1545,1595
17,10,l,1595,1545
20,10,t,1545,1545
16,4,l,1545,1495
20,9,w,1495,1545
21,8,w,1545,1595
20,9,w,1595,1645
21,9,w,1645,1695
21,10,w,1695,1745
19,10,t,1745,1745
14,2,l,1745,1695
17,6,l,1695,1645
17,7,t,1645,1645
21,5,w,1645,1695
19,9,l,1695,1645
21,2,w,1645,1695
14,2,w,1695,1745
14,5,l,1745,1695
17,10,l,1695,1645
24,11,l,1645,1595
20,11,w,1595,1645
17,9,t,1645,1645
22,8,l,1645,1595
18,10,l,1595,1545
14,5,w,1545,1595
12,6,l,1595,1545
20,9,w,1545,1595
20,10,l,1595,1545
21,10,w,1545,1595
13,6,w,1595,1645
22,8,l,1645,1595
15,3,w,1595,1645
20,5,w,1645,1695
18,2,l,1695,1645
13,3,l,1645,1595
17,9,l,1595,1545
13,3,w,1545,1595
21,10,w,1595,1645
16,5,w,1645,1695
22,10,l,1695,1645
23,9,l,1645,1595
17,10,l,1595,1545
20,9,w,1545,1595
15,4,w,1595,1645
20,5,w,1645,1695
22,3,l,1695,1645
17,3,l,1645,1595
18,10,w,1595,1645
20,8,t,1645,1645
17,11,l,1645,1595
21,7,w,1595,1645
18,3,w,1645,1695
18,11,w,1695,1745
18,8,l,1745,1695
20,3,w,1695,1745
14,5,w,1745,1795
22,10,l,1795,1745
20,10,w,1745,1795
21,10,w,1795,1845
26,9,l,1845,1795
14,2,l,1795,1745
16,6,l,1745,1695
19,10,l,1695,1645
22,10,l,1645,1595
20,10,w,1595,1645
18,9,t,1645,1645
18,11,w,1645,1695
20,11,l,1695,1645
25,10,l,1645,1595
17,10,l,1595,1545
17,4,l,1545,1495
19,10,l,1495,1445
22,9,l,1445,1395
16,3,l,1395,1345
23,7,l,1345,1295
20,11,l,1295,1245
20,7,w,1245,1295
24,11,l,1295,1245
20,7,w,1245,1295
17,3,l,1295,1245
20,8,w,1245,1295
21,10,w,1295,1345
15,3,l,1345,1295
23,10,l,1295,1245
25,9,l,1245,1195
18,10,l,1195,1145
26,10,l,1145,1095
23,10,l,1095,1045
20,7,w,1045,1095
17,9,l,1095,1045
24,9,l,1045,995
15,4,w,995,1045
25,10,l,1045,995
20,10,l,995,945
19,10,l,945,895
20,4,w,895,945
12,6,l,945,895
21,3,w,895,945
19,10,w,945,995
12,6,w,995,1045
15,4,w,1045,1095
16,2,l,1095,1045
20,10,w,1045,1095
12,6,w,1095,1145
19,8,w,1145,1195
17,10,l,1195,1145
25,8,l,1145,1095
23,10,l,1095,1045
19,10,l,1045,995
24,11,l,995,945
20,3,w,945,995
13,4,l,995,945
20,11,w,945,995
12,6,l,995,945
19,8,w,945,995
18,2,l,995,945
22,10,l,945,895
18,4,l,895,845
26,10,l,845,795
26,10,l,795,745
17,7,t,745,745
22,10,l,745,695
24,11,l,695,645
24,11,l,645,595
17,3,l,595,545
21,8,w,545,595
23,10,l,595,545
24,10,l,545,495
21,10,w,495,545
21,10,w,545,595
19,6,t,595,595
16,6,w,595,645
24,10,l,645,595
23,9,l,595,545
18,11,t,545,545
21,10,w,545,595
15,4,l,595,545
17,10,l,545,495
19,3,w,495,545
26,8,l,545,495
18,9,l,495,445
21,2,w,445,495
24,10,l,495,445
22,11,l,445,395
23,9,l,395,345
12,5,l,345,295
19,10,l,295,245
12,6,w,245,295
17,10,t,295,295
19,10,w,295,345
18,11,l,345,295
21,8,w,295,345
20,8,w,345,395
17,5,l,395,345
22,10,l,345,295
20,2,w,295,345
20,11,w,345,395
15,2,l,395,345
17,10,l,345,295
17,10,l,295,245
16,6,l,245,195
19,7,w,195,245
20,9,w,245,295
25,9,l,295,245
18,4,w,245,295
20,3,w,295,345
15,4,l,345,295
17,2,w,295,345
19,10,t,345,345
24,10,l,345,295
20,7,w,295,345
16,6,w,345,395
17,6,w,395,445
24,10,l,445,395
19,10,w,395,445
15,4,l,445,395
19,7,w,395,445
14,3,w,445,495
19,11,w,495,545
19,7,l,545,495
20,3,l,495,445
17,9,l,445,395
18,11,l,395,345
18,10,w,345,395
20,5,w,395,445
18,10,w,445,495
21,10,w,495,545
14,2,w,545,595
13,2,w,595,645
20,7,l,645,595
26,11,l,595,545
19,3,w,545,595
24,10,l,595,545
22,7,l,545,495
25,8,l,495,445
20,10,w,445,495
17,4,w,495,545
18,10,l,545,495
21,8,t,495,495
17,11,l,495,445
12,6,l,445,395
23,7,l,395,345
26,8,l,345,295
26,9,l,295,245
21,10,w,245,295
21,10,t,295,295
23,8,l,295,245
20,4,w,245,295
12,4,l,295,245
19,9,t,245,245
15,3,l,245,195
17,10,t,195,195
18,10,w,195,245
20,5,w,245,295
20,10,w,295,345
25,8,l,345,295
18,2,w,295,345
24,9,l,345,295
18,10,w,295,345
16,5,w,345,395
16,5,l,395,345
16,5,l,345,295
25,10,l,295,245
17,8,l,245,195
23,10,l,195,145
17,3,t,145,145
23,7,l,145,95
21,6,w,95,145
21,8,w,145,195
17,9,l,195,145
21,10,w,145,195
21,2,w,195,245
13,5,w,245,295
18,8,t,295,295
13,3,l,295,245
19,10,l,245,195
21,10,w,195,245
21,8,w,245,295
25,7,l,295,245
16,3,w,245,295
19,7,l,295,245
26,11,l,245,195
23,11,l,195,145
20,7,w,145,195
20,9,t,195,195
26,10,l,195,145
22,11,l,145,95
21,6,w,95,145
15,3,l,145,95
16,2,w,95,145
19,3,w,145,195
18,11,l,195,145
20,10,t,145,145
21,10,w,145,195
18,11,l,195,145
22,10,l,145,95
17,4,l,95,45
20,7,w,45,95
18,10,l,95,45
19,4,w,45,95
19,3,w,95,145
17,2,l,145,95
16,3,l,95,45
19,3,w,45,95
19,7,w,95,145
17,7,t,145,145
21,4,w,145,195
17,4,w,195,245
20,5,l,245,195
23,8,l,195,145
14,6,l,145,95
21,8,w,95,145
20,11,l,145,95
12,4,l,95,45
18,10,w,45,95
21,10,w,95,145
20,5,w,145,195
20,10,w,195,245
24,11,l,245,195
12,6,l,195,145
21,10,w,145,195
18,2,w,195,245
23,10,l,245,195
12,4,l,195,145
20,3,w,145,195
18,10,w,195,245
17,10,l,245,195
19,11,w,195,245
12,5,l,245,195
20,10,t,195,195
19,2,l,195,145
19,10,w,145,195
21,3,w,195,245
21,10,w,245,295
22,11,l,295,245
22,11,l,245,195
17,7,l,195,145
19,3,w,145,195
17,10,l,195,145
19,10,l,145,95
20,3,w,95,145
12,5,l,145,95
18,10,l,95,45
21,3,w,45,95
14,3,l,95,45
22,10,l,45,-5
25,10,l,-5,-55
21,9,w,-55,-5
